,title,url,thumbnail_url,channel_name,views
36,The Harsh Truth About the GOAT Debate,https://www.youtube.com/watch?v=IVdJ6Z9jluc,,JxmyHighroller,1.3M
37,Having a Baby *The First Step*,https://www.youtube.com/watch?v=hEY6UyvDDoY,,Ryland vlogs,627K
38,Volcanose #shorts,https://www.youtube.com/watch?v=nq-epMpa0E8,,TheOdd1sOut,1.1M
39,"I made 10,000 villagers worship me",https://www.youtube.com/watch?v=10RCGDZYk8U,,Grox,3.1M
40,How I Trapped Minecraft's Best Escapist,https://www.youtube.com/watch?v=GLh13k55e4Q,,Parrot,884K
41,Let’s Speedrun Dumb Ways To Die 2,https://www.youtube.com/watch?v=fKq3WeNKxEA,,EazySpeezy,785K
42,How many days are in a month?,https://www.youtube.com/watch?v=Zcs0mCMO6wY,,Wyatt Eiden,799K
43,48 Hours In MIAMI PART 2,https://www.youtube.com/watch?v=MLBOxSkFdg0,,Duke Dennis,1M v
44,Craziest House Tour On YouTube,https://www.youtube.com/watch?v=cKCQUbVx4mo,,Danny Gonzalez,1.7M
45,#POV (PART 2.) Every time someone touches your face it’s becomes permanent… #shorts,https://www.youtube.com/watch?v=dReHBgmjBGo,,Katie Ann,1.5M
46,This food costs HOW MUCH? #shorts,https://www.youtube.com/watch?v=JjzPrmJm6u4,,Ray William Johnson,4.8M
47,The new Kirby game is a pure and wholesome experience :),https://www.youtube.com/watch?v=WZM9uq-KKhk,,SmallAnt,1M v
48,This Is The Deadliest Minecraft Player,https://www.youtube.com/watch?v=WKFKaqrutVU,,Boosfer,233K
49,How to clean video game discs,https://www.youtube.com/watch?v=EdDOpqPbq8Q,,1980sGamer,1.1M
50,I made this for a Truck. It’s for Emergencies.,https://www.youtube.com/watch?v=p36lgh073OQ,,Fireball Tool,1M v
51,"$1 VS $29,000 House!",https://www.youtube.com/watch?v=1lIi1txDVzo,,MrBeast Gaming,14M 
52,Soy El Unico - Yahritza Y Su Esencia,https://www.youtube.com/watch?v=kdFBxerg7jc,,Lumbre Music,4M v
53,"Summer Walker, SZA, & Cardi B - No Love (Extended Version) [Official Video]",https://www.youtube.com/watch?v=VmB0Q7qkweM,,Summer Walker,5M v
54,"Be Alive (Original Song from the Motion Picture ""King Richard"") (94th Academy Awards Performance)",https://www.youtube.com/watch?v=4aeDlZOD-B0,,Beyoncé,4.6M
55,Will Smith Accepts the Oscar for Lead Actor,https://www.youtube.com/watch?v=YVvgCMZSkyw,,ABC,1.2M
56,To Our Son,https://www.youtube.com/watch?v=jjXZJZ4F8Ak,,Kylie Jenner,18M 
57,Chris Rock after being Slapped at the Oscars,https://www.youtube.com/watch?v=SGmZRWb4aj0,,RDCworld1,5.4M
58,"Would You Swim With Sharks For $100,000?",https://www.youtube.com/watch?v=LnlKwzc_TNA,,MrBeast,31M 
59,Snoop Dogg REACTS to Will Smith and Chris Rock Oscars Slap,https://www.youtube.com/watch?v=4wBFoWumJEI,,extratv,4.5M
60,Richard & Susanna React To Will Smith's Oscars Outburst After He Hit Chris Rock Due To Wife Joke|GMB,https://www.youtube.com/watch?v=iwXM8uoI0yw,,Good Morning Britain,2.3M
61,Coi Leray & Nicki Minaj - Blick Blick! (Official Video),https://www.youtube.com/watch?v=1N1RwMOcjks,,Coi Leray,9.7M
62,U Know What's Up (From Disney and Pixar's Turning Red),https://www.youtube.com/watch?v=74Xn1lhiQaI,,DisneyMusicVEVO,9M v
63,DDG - Elon Musk ft. Gunna (Official Music Video),https://www.youtube.com/watch?v=fW43Pdw3F00,,DDG,4M v
64,Being Not Straight,https://www.youtube.com/watch?v=qF1DTK4U1AM,,Jaiden Animations,9.7M
65,"COME ON, LET'S GO",https://www.youtube.com/watch?v=6zxnoT3XBu0,,"Tyler, The Creator",3.4M
66,"Denzel Washington, Bradley Cooper Comfort Will Smith After Oscars Slap",https://www.youtube.com/watch?v=P2kMCStRQhk,,Access,1.8M
67,"4*TOWN (From Disney and Pixar’s Turning Red) - Nobody Like U (From ""Turning Red"")",https://www.youtube.com/watch?v=DQQRjFzB8gY,,DisneyMusicVEVO,39M 
68,"I made 10,000 villagers worship me",https://www.youtube.com/watch?v=10RCGDZYk8U,,Grox,3.1M
69,“These are Putin's sanctions”: Understanding the economic sanctions against Russia,https://www.youtube.com/watch?v=l_x2LQZOzF8,,60 Minutes,1.7M
70,DaBaby & NBA Youngboy - BESTIE (Official Video),https://www.youtube.com/watch?v=BjmeXRtEhqA,,DaBaby,2M v
71,Cedric The Entertainer Jokes About Will Smith Slapping Chris Rock | TMZ,https://www.youtube.com/watch?v=8-f_qC-ThHY,,TMZ,946K
72,Soy El Unico - Yahritza Y Su Esencia (Official Video),https://www.youtube.com/watch?v=4M__yS9pREA,,Yahritza Y Su Esencia,1.9M
73,Elden Ring (dunkview),https://www.youtube.com/watch?v=D1H4o4FW-wA,,videogamedunkey,3.5M
74,West Philadelphia Community Reacts To Local Icon Will Smith Slapping Chris Rock,https://www.youtube.com/watch?v=qZjmxY-1qHM,,CBS Philly,535K
75,NBA YoungBoy - I Got The Bag,https://www.youtube.com/watch?v=NBgEBWT1Mqk,,YoungBoy Never Broke Again,10M 
76,Top Gun: Maverick | NEW Official Trailer (2022 Movie) - Tom Cruise,https://www.youtube.com/watch?v=giXco2jaZ_4,,Paramount Pictures,6.4M
77,"EST Gee, 42 Dugg - Free The Shiners (Official Music Video)",https://www.youtube.com/watch?v=t0we9akJ16o,,EST Gee,1.9M
78,Denzel Washington affirms support for Will Smith despite being nominated for the same award | Etalk,https://www.youtube.com/watch?v=J0p8OVhos9E,,Etalk,2.5M
79,I am addicted to buying weird ads,https://www.youtube.com/watch?v=WbAuL4fg5LI,,Drew Gooden,2.5M
80,Craziest House Tour On YouTube,https://www.youtube.com/watch?v=cKCQUbVx4mo,,Danny Gonzalez,1.7M
81,Sneaking Into MrBeast's Warehouse!,https://www.youtube.com/watch?v=jywsqXhJr4g,,JStu,3.6M
82,Could he do this with a football? 🤔 #shorts,https://www.youtube.com/watch?v=ndBiE-qmj1E,,MaxPreps,2.4M
83,World's Cutest Animals!,https://www.youtube.com/watch?v=esDlUtMQmeU,,Beast Reacts,8M v
84,Shoe Obsessed Slayer - Did The Wife Know More? - Jerry Brudos | Mystery & Makeup Bailey Sarian,https://www.youtube.com/watch?v=1qCld8mtSNs,,Bailey Sarian,1M v
85,I made Logan Paul & KSI a commercial for PRIME drink! 🍊🤯,https://www.youtube.com/watch?v=D5bY0x3dhIo,,Kyle Nutt,20M 
86,48 Hours In MIAMI PART 2,https://www.youtube.com/watch?v=MLBOxSkFdg0,,Duke Dennis,1M v
87,Going back to the AMP house,https://www.youtube.com/watch?v=5J_fthCSs0Q,,JustFanum,984K
88,Reacting to the most INSANE Minecraft Speedrun (All Advancements World Record),https://www.youtube.com/watch?v=Bkq0Vhm4TK4,,SmallAnt,1.4M
89,The Sanction-Fueled Destruction of the Russian Aviation Industry,https://www.youtube.com/watch?v=SrTrpwzVt4g,,Wendover Productions,2.9M
90,How Teachers Help You During Tests #Shorts,https://www.youtube.com/watch?v=jikcB7_gj8A,,Luke Davidson,7.9M
91,"Stray Kids ""MANIAC"" M/V",https://www.youtube.com/watch?v=OvioeS1ZZ7o,,JYP Entertainment,49M 
92,Robot Piano Catches Fire Playing Rush E (World’s Hardest Song),https://www.youtube.com/watch?v=uBEL3YVzMwk,,Mark Rober,11M 
93,Why Is Call of Duty Vanguard SO BAD?!,https://www.youtube.com/watch?v=cSLSs2u_CPA,,The Act Man,870K
94,Unpredictable Trick Shots 2,https://www.youtube.com/watch?v=GsLopdvhFpk,,Dude Perfect,8.4M
95,I made this for a Truck. It’s for Emergencies.,https://www.youtube.com/watch?v=p36lgh073OQ,,Fireball Tool,1M v
96,The Harsh Truth About the GOAT Debate,https://www.youtube.com/watch?v=IVdJ6Z9jluc,,JxmyHighroller,1.3M
97,Five Nights at Freddy's 2: REVISITED,https://www.youtube.com/watch?v=GXJiEfWwztU,,Markiplier,7.3M
